maand	dag	jaar_vanaf	jaar_tot	code_bisdom	prioriteit	soort_feest	naam_lang	naam_kort	liturgische_tijd	liturgische_kleur	code_eigen	code_gem	code_dag	paginanummers
10	15	1970	2300	65535	100	g	H. Teresia van Jezus, maagd en kerklerares	H. Teresia van Jezus		w	460	912		[]
10	16	1970	2300	65535	120		H. Hedwig, kloosterlinge	H. Hedwig		w	461	925 921		[]
10	16	1970	2300	65535	120		H. Margareta-Maria Alacoque, maagd	H. Margareta-Maria Alacoque		w	462	912 921		[]
10	17	1970	2300	65535	100	g	H. Ignatius van Antiochië, bisschop en martelaar	H. Ignatius van Antiochië		r	463	905 908		[]
10	18	1970	2300	65535	70	f	H. Lucas, evangelist	H. Lucas		r	464	903		[]
10	18	1970	2300	65535	69	f	Haastrecht: Maria ter Weghe - Onze Lieve Vrouw van Haastrecht	Haastrecht: Maria ter Weghe		w	561	902		[]
10	19	1970	2300	65535	120		HH. Johannes de Brébeuf en Isaac Jogues, priesters, en gezellen, martelaren	HH. Johannes de Brébeuf, Isaac Jogues en gezellen		r	465	904 909		[]
10	19	1970	2300	65535	120		H. Paulus van het Kruis, priester	H. Paulus v/h Kruis		w	466	909 920		[]
10	20	1970	2300	65535	120		Rotterdam: Maria ter Weghe - Onze Lieve Vrouw van Haastrecht	Rotterdam: Maria ter Weghe		w	560	902		[]
10	20	1970	2300	65535	80	f	Haastrecht: H. Lucas, evangelist	Haastrecht: H. Lucas		r	464	903		[]
10	22	1970	2300	65535	120		H. Johannes Paulus II, paus	H. Johannes Paulus II		w	569	907		[]
10	23	1970	2300	65535	120		H. Johannes van Capestrano, priester	H. Johannes van Capestrano		w	468	909		[]
10	24	1970	2300	65535	120		H. Antonius Maria Claret, bisschop	H. Antonius Maria Claret		w	472	908		[]
10	25	1970	2300	65535	40	h	Nederland: Verjaardag van de wijding van alle kerken waarvan de wijdingsdatum niet bekend is	Nederland: Verjaardag kerken met onbekende wijdingsdatum		w	473	900		[]
10	28	1970	2300	65535	70	f	HH. Simon en Judas, apostelen	HH. Simon en Judas		r	474	903		[]
10	30	1970	2300	65535	120		Roermond: Z. Maria Teresa van de H. Jozef, maagd	Roermond: Z. Maria Teresa van de H. Jozef		w	565	912		[]
11	1	1970	2300	65535	30	h	Allerheiligen	Allerheiligen		w	476			[]
11	2	1970	2300	65535	61		Gedachtenis van alle overleden gelovigen - Allerzielen	Allerzielen		p	477			[]
11	3	1970	2300	65535	120		H. Martinus de Porres, kloosterling	H. Martinus de Porres		w	478	920		[]
11	3	1970	2300	65535	120		Breda, 's-Hertogenbosch en Roermond: H. Hubertus, bisschop	Breda, 's-Hertogenbosch en Roermond: H. Hubertus		w	479	908 931		[]
11	4	1970	2300	65535	100	g	H. Carolus Borromeo, bisschop	H. Carolus Borromeo		w	481	908		[]
11	6	1970	2300	65535	80	f	Nederland: Alle HH. Verkondigers van het geloof in onze streken	Nederland: HH. geloofsverkondigers in onze streken		w	483	930		[]
